Ranking,Prob_Fraude_%,Nivel_Risco,Cliente,Merchant,Categoria,Valor_R$,Motivos_Suspeita,Score_Regras,Media_Cliente_R$,Valor_Relativo_x,Taxa_Fraude_Merchant_%,Data_Analise
220,99.97,🔴 CRÍTICO,C816519533,M1823072687,es_transportation,709.55,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 14.0x acima da média,2,50.52,14.04550481334694,43.88,2026-01-09 17:51
221,99.97,🔴 CRÍTICO,C1436301390,M1823072687,es_transportation,563.22,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 9.3x acima da média,2,60.48,9.312999256099744,43.88,2026-01-09 17:51
222,99.97,🔴 CRÍTICO,C706685788,M348934600,es_transportation,333.85,Merchant com histórico de fraudes (81.9%),1,110.41,3.023851429361785,81.9,2026-01-09 17:51
223,99.97,🔴 CRÍTICO,C913662681,M348934600,es_transportation,2379.53,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 20.6x acima da média,2,115.28,20.64167658681269,83.4,2026-01-09 17:51
224,99.97,🔴 CRÍTICO,C2015203999,M1823072687,es_transportation,383.49,Merchant com histórico de fraudes (81.9%),1,112.01,3.4236326678995694,81.9,2026-01-09 17:51
225,99.97,🔴 CRÍTICO,C1750362802,M348934600,es_transportation,355.1,Merchant com histórico de fraudes (64.6%),0,471.55,0.7530471248174789,64.57,2026-01-09 17:51
226,99.97,🔴 CRÍTICO,C784005201,M348934600,es_transportation,5592.11,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 28.6x acima da média,2,195.72,28.571488641612028,83.4,2026-01-09 17:51
227,99.97,🔴 CRÍTICO,C1718591511,M1823072687,es_transportation,4722.03,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 25.5x acima da média,2,184.89,25.539902325512326,83.4,2026-01-09 17:51
228,99.97,🔴 CRÍTICO,C759915530,M1053599405,es_health,701.97,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 6.9x acima da média,2,101.54,6.913457770522143,43.88,2026-01-09 17:51
229,99.97,🔴 CRÍTICO,C858011639,M1823072687,es_transportation,2948.13,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 22.0x acima da média,2,134.1,21.984789723065653,83.4,2026-01-09 17:51
230,99.97,🔴 CRÍTICO,C957324981,M348934600,es_transportation,346.83,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 8.5x acima da média,2,40.63,8.535462702774458,92.97,2026-01-09 17:51
231,99.97,🔴 CRÍTICO,C1953142190,M348934600,es_transportation,692.27,Valor acima do padrão do cliente | Merchant com histórico de fraudes (10.4%) | Valor 13.8x acima da média,2,50.02,13.84107438743244,10.42,2026-01-09 17:51
232,99.97,🔴 CRÍTICO,C1881279773,M1823072687,es_transportation,482.5,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 8.6x acima da média,2,56.43,8.550584655308034,43.88,2026-01-09 17:51
233,99.97,🔴 CRÍTICO,C1983734850,M348934600,es_transportation,2374.66,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 7.9x acima da média,2,299.46,7.9298826183049425,83.4,2026-01-09 17:51
234,99.97,🔴 CRÍTICO,C914250073,M348934600,es_transportation,315.19,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.6x acima da média,2,36.84,8.554557327849306,81.9,2026-01-09 17:51
235,99.97,🔴 CRÍTICO,C298468219,M348934600,es_transportation,365.3,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 6.7x acima da média,2,54.76,6.671241954657198,81.9,2026-01-09 17:51
236,99.97,🔴 CRÍTICO,C824784700,M1823072687,es_transportation,418.55,Merchant com histórico de fraudes (64.6%),1,120.65,3.4690626436502643,64.57,2026-01-09 17:51
237,99.97,🔴 CRÍTICO,C1437099450,M1823072687,es_transportation,543.66,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 10.9x acima da média,2,50.09,10.853034145301596,43.88,2026-01-09 17:51
238,99.97,🔴 CRÍTICO,C1862240946,M348934600,es_transportation,4576.14,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 25.3x acima da média,2,180.73,25.320833241482262,83.4,2026-01-09 17:51
239,99.97,🔴 CRÍTICO,C1983734850,M2122776122,es_home,4191.83,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 21.6x acima da média,2,193.79,21.630611386238183,83.4,2026-01-09 17:51
240,99.97,🔴 CRÍTICO,C886993530,M1823072687,es_transportation,4716.54,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 23.5x acima da média,2,200.58,23.514072382604407,83.4,2026-01-09 17:51
241,99.97,🔴 CRÍTICO,C1743392358,M85975013,es_food,358.35,Valor acima do padrão do cliente | Merchant com histórico de fraudes (64.6%) | Valor 7.2x acima da média,2,49.86,7.187027706802403,64.57,2026-01-09 17:51
242,99.97,🔴 CRÍTICO,C1187799344,M348934600,es_transportation,325.72,Merchant com histórico de fraudes (93.0%),0,577.58,0.5639360439896377,92.97,2026-01-09 17:51
243,99.96,🔴 CRÍTICO,C1567385001,M348934600,es_transportation,865.11,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 13.6x acima da média,2,63.66,13.590053251441418,43.88,2026-01-09 17:51
244,99.96,🔴 CRÍTICO,C701909142,M348934600,es_transportation,3137.5,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 25.8x acima da média,2,121.42,25.840317046253524,83.4,2026-01-09 17:51
245,99.96,🔴 CRÍTICO,C470079617,M348934600,es_transportation,4357.94,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 23.8x acima da média,2,183.18,23.791085278270266,83.4,2026-01-09 17:51
246,99.96,🔴 CRÍTICO,C1264836741,M348934600,es_transportation,535.16,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 7.5x acima da média,2,71.45,7.489777870725091,43.88,2026-01-09 17:51
247,99.96,🔴 CRÍTICO,C1324001180,M348934600,es_transportation,337.46,Merchant com histórico de fraudes (81.9%),0,378.51,0.8915403409118325,81.9,2026-01-09 17:51
248,99.96,🔴 CRÍTICO,C1059534096,M1823072687,es_transportation,370.86,Merchant com histórico de fraudes (81.9%),1,112.01,3.3108774967202126,81.9,2026-01-09 17:51
249,99.96,🔴 CRÍTICO,C899895612,M348934600,es_transportation,468.34,Valor acima do padrão do cliente | Merchant com histórico de fraudes (57.2%) | Valor 8.2x acima da média,2,56.96,8.222982912422388,57.24,2026-01-09 17:51
250,99.96,🔴 CRÍTICO,C825744832,M348934600,es_transportation,314.26,Merchant com histórico de fraudes (95.7%),1,78.8,3.9882455403881143,95.71,2026-01-09 17:51
251,99.96,🔴 CRÍTICO,C1088464518,M1823072687,es_transportation,424.97,Valor acima do padrão do cliente | Merchant com histórico de fraudes (11.3%) | Valor 10.7x acima da média,2,39.67,10.712628920780718,11.25,2026-01-09 17:51
252,99.96,🔴 CRÍTICO,C1800696439,M348934600,es_transportation,1097.89,Merchant com histórico de fraudes (43.9%),1,320.29,3.427821637036872,43.88,2026-01-09 17:51
253,99.96,🔴 CRÍTICO,C474894075,M348934600,es_transportation,615.06,Merchant com histórico de fraudes (22.8%) | Valor 5.2x acima da média,1,119.12,5.163548529213471,22.77,2026-01-09 17:51
254,99.96,🔴 CRÍTICO,C2128589842,M1823072687,es_transportation,384.76,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 8.7x acima da média,2,44.07,8.729912731956944,43.88,2026-01-09 17:51
255,99.96,🔴 CRÍTICO,C1090528803,M1823072687,es_transportation,396.66,Merchant com histórico de fraudes (81.9%),0,234.75,1.6897153907988753,81.9,2026-01-09 17:51
256,99.96,🔴 CRÍTICO,C1059874896,M348934600,es_transportation,372.53,Merchant com histórico de fraudes (57.2%),1,89.38,4.167852324889608,57.24,2026-01-09 17:51
257,99.96,🔴 CRÍTICO,C1180570487,M348934600,es_transportation,403.5,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 9.4x acima da média,2,42.99,9.385669563614748,81.9,2026-01-09 17:51
258,99.96,🔴 CRÍTICO,C109617474,M348934600,es_transportation,450.1,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 9.9x acima da média,2,45.52,9.888816916885178,43.88,2026-01-09 17:51
259,99.96,🔴 CRÍTICO,C1191832390,M348934600,es_transportation,462.31,Merchant com histórico de fraudes (83.9%),0,234.75,1.969375087783563,83.9,2026-01-09 17:51
260,99.96,🔴 CRÍTICO,C856318696,M348934600,es_transportation,361.67,Merchant com histórico de fraudes (95.7%) | Valor 5.8x acima da média,1,62.66,5.772145240912373,95.71,2026-01-09 17:51
261,99.96,🔴 CRÍTICO,C775533998,M348934600,es_transportation,400.97,Valor acima do padrão do cliente | Merchant com histórico de fraudes (21.0%) | Valor 7.0x acima da média,2,57.28,7.000230009121883,20.97,2026-01-09 17:51
262,99.96,🔴 CRÍTICO,C1777674460,M1313686961,es_contents,5772.54,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 26.7x acima da média,2,215.82,26.74735983783794,83.4,2026-01-09 17:51
263,99.96,🔴 CRÍTICO,C1411169363,M349281107,es_fashion,364.08,Valor acima do padrão do cliente | Merchant com histórico de fraudes (34.8%) | Valor 6.1x acima da média,2,59.32,6.137688232849003,34.8,2026-01-09 17:51
264,99.96,🔴 CRÍTICO,C2132909556,M1823072687,es_transportation,477.81,Merchant com histórico de fraudes (64.6%),1,129.47,3.690440356225273,64.57,2026-01-09 17:51
265,99.96,🔴 CRÍTICO,C1853277977,M348934600,es_transportation,333.92,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 9.3x acima da média,2,35.73,9.345732029290108,22.77,2026-01-09 17:51
266,99.96,🔴 CRÍTICO,C1512732275,M348934600,es_transportation,3033.36,Merchant com histórico de fraudes (83.4%) | Valor 9.3x acima da média,1,327.86,9.25213887464843,83.4,2026-01-09 17:51
267,99.96,🔴 CRÍTICO,C1577104524,M348934600,es_transportation,399.86,Valor acima do padrão do cliente | Merchant com histórico de fraudes (57.2%) | Valor 8.8x acima da média,2,45.21,8.844061506181662,57.24,2026-01-09 17:51
268,99.96,🔴 CRÍTICO,C1355509614,M1823072687,es_transportation,302.5,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 8.3x acima da média,2,36.27,8.339752456070073,81.9,2026-01-09 17:51
269,99.96,🔴 CRÍTICO,C1846578588,M348934600,es_transportation,309.38,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 7.0x acima da média,2,44.23,6.994517359166013,92.97,2026-01-09 17:51
270,99.96,🔴 CRÍTICO,C1590346257,M348934600,es_transportation,359.06,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 8.3x acima da média,2,43.31,8.291328478825463,43.88,2026-01-09 17:51
271,99.96,🔴 CRÍTICO,C1857263556,M348934600,es_transportation,1113.07,Merchant com histórico de fraudes (43.9%),1,234.75,4.741520471024313,43.88,2026-01-09 17:51
272,99.96,🔴 CRÍTICO,C194016923,M78078399,es_wellnessandbeauty,282.86,Merchant com histórico de fraudes (93.0%) | Valor 6.6x acima da média,1,43.1,6.5627028585953315,92.97,2026-01-09 17:51
273,99.96,🔴 CRÍTICO,C1118932469,M855959430,es_hyper,566.9,Merchant com histórico de fraudes (43.9%) | Valor 8.0x acima da média,1,70.84,8.002540824357132,43.88,2026-01-09 17:51
274,99.96,🔴 CRÍTICO,C1156885344,M348934600,es_transportation,675.58,Merchant com histórico de fraudes (81.9%),1,168.69,4.004860963869459,81.9,2026-01-09 17:51
275,99.96,🔴 CRÍTICO,C1299496226,M348934600,es_transportation,333.77,Valor acima do padrão do cliente | Merchant com histórico de fraudes (95.7%) | Valor 7.4x acima da média,2,44.85,7.4421247539312745,95.71,2026-01-09 17:51
276,99.95,🔴 CRÍTICO,C1828122,M1823072687,es_transportation,535.6,Merchant com histórico de fraudes (22.8%),1,110.41,4.851205108779907,22.77,2026-01-09 17:51
277,99.95,🔴 CRÍTICO,C2033310172,M348934600,es_transportation,562.88,Merchant com histórico de fraudes (81.9%),0,234.75,2.3977890363860004,81.9,2026-01-09 17:51
278,99.95,🔴 CRÍTICO,C1267365709,M1823072687,es_transportation,421.67,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 10.7x acima da média,2,39.31,10.725934132025015,43.88,2026-01-09 17:51
279,99.95,🔴 CRÍTICO,C2042503226,M151143676,es_barsandrestaurants,740.27,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 17.2x acima da média,2,43.07,17.186603582643137,43.88,2026-01-09 17:51
280,99.95,🔴 CRÍTICO,C673469784,M348934600,es_transportation,438.93,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 11.3x acima da média,2,38.8,11.311594092110452,43.88,2026-01-09 17:51
281,99.95,🔴 CRÍTICO,C1552608695,M1823072687,es_transportation,370.38,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 8.5x acima da média,2,43.82,8.452967791506515,43.88,2026-01-09 17:51
282,99.95,🔴 CRÍTICO,C883419967,M348934600,es_transportation,494.79,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 10.1x acima da média,2,49.13,10.07132866967345,43.88,2026-01-09 17:51
283,99.95,🔴 CRÍTICO,C385721880,M348934600,es_transportation,780.86,Merchant com histórico de fraudes (81.9%),1,186.07,4.1965926576202905,81.9,2026-01-09 17:51
284,99.95,🔴 CRÍTICO,C1134333439,M980657600,es_sportsandtoys,521.21,Merchant com histórico de fraudes (81.9%),1,121.75,4.280880107423389,81.9,2026-01-09 17:51
285,99.95,🔴 CRÍTICO,C875900250,M348934600,es_transportation,393.49,Merchant com histórico de fraudes (93.0%),0,161.73,2.433041241779866,92.97,2026-01-09 17:51
286,99.95,🔴 CRÍTICO,C815064001,M1823072687,es_transportation,336.92,Merchant com histórico de fraudes (81.9%) | Valor 6.6x acima da média,1,51.01,6.6048066454878,81.9,2026-01-09 17:51
287,99.95,🔴 CRÍTICO,C868061193,M1823072687,es_transportation,487.24,Merchant com histórico de fraudes (81.9%),0,303.45,1.6056585236948675,81.9,2026-01-09 17:51
288,99.95,🔴 CRÍTICO,C2110878299,M348934600,es_transportation,487.75,Merchant com histórico de fraudes (81.9%),0,303.45,1.6073391858882102,81.9,2026-01-09 17:51
289,99.95,🔴 CRÍTICO,C671392477,M348934600,es_transportation,354.3,Merchant com histórico de fraudes (93.0%),1,110.41,3.209077613966992,92.97,2026-01-09 17:51
290,99.95,🔴 CRÍTICO,C1803364571,M348934600,es_transportation,398.89,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 8.2x acima da média,2,48.44,8.234980780524898,43.88,2026-01-09 17:51
291,99.94,🔴 CRÍTICO,C1791559714,M85975013,es_food,301.68,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 7.8x acima da média,2,38.89,7.757330368204141,81.9,2026-01-09 17:51
292,99.94,🔴 CRÍTICO,C723217997,M348934600,es_transportation,2104.48,Valor acima do padrão do cliente | Merchant com histórico de fraudes (74.4%) | Valor 22.2x acima da média,2,94.98,22.158174169873856,74.42,2026-01-09 17:51
293,99.94,🔴 CRÍTICO,C990997956,M348934600,es_transportation,628.85,Merchant com histórico de fraudes (34.8%),1,161.73,3.88832749216821,34.8,2026-01-09 17:51
294,99.94,🔴 CRÍTICO,C76052944,M348934600,es_transportation,612.7,Merchant com histórico de fraudes (81.9%),0,275.48,2.2240999540132056,81.9,2026-01-09 17:51
295,99.94,🔴 CRÍTICO,C438957460,M1823072687,es_transportation,328.75,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 7.2x acima da média,2,45.77,7.182753481576378,92.97,2026-01-09 17:51
296,99.94,🔴 CRÍTICO,C191366309,M1823072687,es_transportation,3672.38,Merchant com histórico de fraudes (83.4%) | Valor 7.5x acima da média,1,490.88,7.481149655648682,83.4,2026-01-09 17:51
297,99.94,🔴 CRÍTICO,C1809104609,M1823072687,es_transportation,403.31,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 7.8x acima da média,2,51.5,7.831902302890229,43.88,2026-01-09 17:51
298,99.94,🔴 CRÍTICO,C652001804,M348934600,es_transportation,1961.59,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 21.1x acima da média,2,93.06,21.078912295501215,83.4,2026-01-09 17:51
299,99.94,🔴 CRÍTICO,C1952937534,M1313686961,es_contents,569.6,Merchant com histórico de fraudes (43.9%),0,502.77,1.1329292344216177,43.88,2026-01-09 17:51
300,99.94,🔴 CRÍTICO,C1358079072,M1823072687,es_transportation,1002.33,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 14.3x acima da média,2,70.11,14.295587125026646,43.88,2026-01-09 17:51
301,99.94,🔴 CRÍTICO,C1364381627,M348934600,es_transportation,1795.12,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 6.8x acima da média,2,263.64,6.809001050278715,43.88,2026-01-09 17:51
302,99.93,🔴 CRÍTICO,C1701618194,M1946091778,es_wellnessandbeauty,768.77,Valor acima do padrão do cliente | Merchant com histórico de fraudes (10.4%) | Valor 16.5x acima da média,2,46.6,16.49579399845949,10.42,2026-01-09 17:51
303,99.93,🔴 CRÍTICO,C1010589026,M1823072687,es_transportation,577.11,Merchant com histórico de fraudes (43.9%),0,515.7,1.1190902937577711,43.88,2026-01-09 17:51
304,99.93,🔴 CRÍTICO,C1158233054,M348934600,es_transportation,674.11,Merchant com histórico de fraudes (43.9%),0,515.7,1.3071857322261808,43.88,2026-01-09 17:51
305,99.93,🔴 CRÍTICO,C2127479268,M348934600,es_transportation,2378.15,Merchant com histórico de fraudes (83.4%),1,502.77,4.73011878307544,83.4,2026-01-09 17:51
306,99.93,🔴 CRÍTICO,C33256704,M348934600,es_transportation,303.91,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 8.4x acima da média,2,36.34,8.361810197776581,92.97,2026-01-09 17:51
307,99.93,🔴 CRÍTICO,C907777350,M1823072687,es_transportation,5646.51,Merchant com histórico de fraudes (83.4%) | Valor 7.3x acima da média,1,778.42,7.253771714061012,83.4,2026-01-09 17:51
308,99.93,🔴 CRÍTICO,C2001183195,M348934600,es_transportation,363.29,Merchant com histórico de fraudes (70.7%),1,104.34,3.4817523479153603,70.71,2026-01-09 17:51
309,99.93,🔴 CRÍTICO,C2044070952,M1823072687,es_transportation,439.48,Merchant com histórico de fraudes (81.9%),1,98.17,4.476632802870139,81.9,2026-01-09 17:51
310,99.93,🔴 CRÍTICO,C1092769857,M1823072687,es_transportation,546.12,Merchant com histórico de fraudes (43.9%) | Valor 7.0x acima da média,1,77.49,7.047988455350515,43.88,2026-01-09 17:51
311,99.93,🔴 CRÍTICO,C1304621872,M348934600,es_transportation,371.25,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 6.7x acima da média,2,55.01,6.748562521125533,22.77,2026-01-09 17:51
312,99.93,🔴 CRÍTICO,C281474709,M348934600,es_transportation,721.27,Merchant com histórico de fraudes (57.2%),0,325.81,2.2137567736866477,57.24,2026-01-09 17:51
313,99.93,🔴 CRÍTICO,C1686676187,M1823072687,es_transportation,581.81,Merchant com histórico de fraudes (81.9%),1,154.42,3.7678062997814292,81.9,2026-01-09 17:51
314,99.93,🔴 CRÍTICO,C1497135910,M348934600,es_transportation,665.98,Valor acima do padrão do cliente | Merchant com histórico de fraudes (21.0%) | Valor 6.8x acima da média,2,97.41,6.8365794842992695,20.97,2026-01-09 17:51
315,99.93,🔴 CRÍTICO,C798268011,M1823072687,es_transportation,781.78,Merchant com histórico de fraudes (43.9%),1,161.73,4.833929660216686,43.88,2026-01-09 17:51
316,99.93,🔴 CRÍTICO,C969635352,M348934600,es_transportation,392.87,Merchant com histórico de fraudes (93.0%),1,129.94,3.0234258128747764,92.97,2026-01-09 17:51
317,99.93,🔴 CRÍTICO,C1988025089,M348934600,es_transportation,307.32,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 7.7x acima da média,2,39.94,7.69471676270256,92.97,2026-01-09 17:51
318,99.93,🔴 CRÍTICO,C73919470,M348934600,es_transportation,1910.49,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 21.3x acima da média,2,89.61,21.319894715064855,83.4,2026-01-09 17:51
319,99.93,🔴 CRÍTICO,C1346358504,M348934600,es_transportation,441.73,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 9.9x acima da média,2,44.69,9.885076674562876,43.88,2026-01-09 17:51
320,99.93,🔴 CRÍTICO,C545102882,M348934600,es_transportation,3114.85,Merchant com histórico de fraudes (83.4%) | Valor 6.6x acima da média,1,471.41,6.607497834390195,83.4,2026-01-09 17:51
321,99.93,🔴 CRÍTICO,C1072577677,M1823072687,es_transportation,438.59,Merchant com histórico de fraudes (43.9%),1,110.41,3.972535565085473,43.88,2026-01-09 17:51
322,99.93,🔴 CRÍTICO,C1095241409,M348934600,es_transportation,509.97,Múltiplas transações no mesmo período | Merchant com histórico de fraudes (43.9%),1,515.7,0.9888972242859257,43.88,2026-01-09 17:51
323,99.93,🔴 CRÍTICO,C153258882,M1823072687,es_transportation,658.51,Merchant com histórico de fraudes (81.9%),0,313.13,2.102982766377934,81.9,2026-01-09 17:51
324,99.93,🔴 CRÍTICO,C851871528,M1823072687,es_transportation,1923.23,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.4%) | Valor 20.9x acima da média,2,91.82,20.94615333003982,83.4,2026-01-09 17:51
325,99.92,🔴 CRÍTICO,C956700475,M1600850729,es_fashion,672.25,Merchant com histórico de fraudes (81.9%),1,189.77,3.5423838779119805,81.9,2026-01-09 17:51
326,99.92,🔴 CRÍTICO,C123623130,M348934600,es_transportation,940.19,Merchant com histórico de fraudes (43.9%),0,471.55,1.9938253345033665,43.88,2026-01-09 17:51
327,99.92,🔴 CRÍTICO,C1622124632,M348934600,es_transportation,419.2,Múltiplas transações no mesmo período | Merchant com histórico de fraudes (43.9%),1,515.7,0.8128825547005903,43.88,2026-01-09 17:51
328,99.92,🔴 CRÍTICO,C487569403,M1823072687,es_transportation,635.29,Merchant com histórico de fraudes (83.4%),0,303.45,2.0935448721741077,83.4,2026-01-09 17:51
329,99.92,🔴 CRÍTICO,C2145448250,M348934600,es_transportation,473.8,Merchant com histórico de fraudes (43.9%),0,535.36,0.8850185654311924,43.88,2026-01-09 17:51
330,99.92,🔴 CRÍTICO,C837031785,M209847108,es_wellnessandbeauty,2266.75,Valor acima do padrão do cliente | Merchant com histórico de fraudes (74.4%) | Valor 12.5x acima da média,2,181.49,12.48966878346097,74.42,2026-01-09 17:51
331,99.92,🔴 CRÍTICO,C837113913,M348934600,es_transportation,412.62,Valor acima do padrão do cliente | Merchant com histórico de fraudes (95.7%) | Valor 6.6x acima da média,2,62.57,6.594323234125116,95.71,2026-01-09 17:51
332,99.92,🔴 CRÍTICO,C1263267362,M348934600,es_transportation,1286.23,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 17.3x acima da média,2,74.18,17.339777058699653,43.88,2026-01-09 17:51
333,99.92,🔴 CRÍTICO,C766494418,M348934600,es_transportation,325.5,Merchant com histórico de fraudes (93.0%),1,104.34,3.119574965582454,92.97,2026-01-09 17:51
334,99.92,🔴 CRÍTICO,C722887134,M348934600,es_transportation,398.62,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 6.4x acima da média,2,62.66,6.3618562112768275,92.97,2026-01-09 17:51
335,99.92,🔴 CRÍTICO,C1129111658,M348934600,es_transportation,611.8,Merchant com histórico de fraudes (43.9%),0,378.51,1.616323062199547,43.88,2026-01-09 17:51
336,99.92,🔴 CRÍTICO,C555482626,M348934600,es_transportation,289.5,Merchant com histórico de fraudes (93.0%),0,134.98,2.1446969854677698,92.97,2026-01-09 17:51
337,99.92,🔴 CRÍTICO,C717345438,M1823072687,es_transportation,2143.37,Merchant com histórico de fraudes (83.4%),1,612.93,3.4969388655315043,83.4,2026-01-09 17:51
338,99.92,🔴 CRÍTICO,C517412999,M348934600,es_transportation,359.3,Merchant com histórico de fraudes (81.9%),1,76.16,4.717837176533316,81.9,2026-01-09 17:51
339,99.92,🔴 CRÍTICO,C2082605784,M1823072687,es_transportation,404.01,Merchant com histórico de fraudes (81.9%),0,236.69,1.7069402513578844,81.9,2026-01-09 17:51
340,99.92,🔴 CRÍTICO,C439601438,M348934600,es_transportation,535.36,Merchant com histórico de fraudes (43.9%),1,112.01,4.7794622678211,43.88,2026-01-09 17:51
341,99.91,🔴 CRÍTICO,C197798791,M1823072687,es_transportation,373.27,Valor acima do padrão do cliente | Merchant com histórico de fraudes (43.9%) | Valor 7.9x acima da média,2,46.99,7.942836523830229,43.88,2026-01-09 17:51
342,99.91,🔴 CRÍTICO,C868061193,M348934600,es_transportation,335.45,Valor acima do padrão do cliente | Merchant com histórico de fraudes (95.7%) | Valor 6.6x acima da média,2,50.68,6.618328763572482,95.71,2026-01-09 17:51
343,99.91,🔴 CRÍTICO,C1403689550,M348934600,es_transportation,315.18,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 7.1x acima da média,2,44.53,7.0784858704878,81.9,2026-01-09 17:51
344,99.91,🔴 CRÍTICO,C1166355595,M348934600,es_transportation,288.66,Valor acima do padrão do cliente | Merchant com histórico de fraudes (81.9%) | Valor 7.0x acima da média,2,41.15,7.0148892106785565,81.9,2026-01-09 17:51
345,99.91,🔴 CRÍTICO,C1465725042,M348934600,es_transportation,536.66,Valor acima do padrão do cliente | Merchant com histórico de fraudes (22.8%) | Valor 5.9x acima da média,2,91.17,5.886268240928901,22.77,2026-01-09 17:51
346,99.91,🔴 CRÍTICO,C1977646698,M1823072687,es_transportation,3283.45,Merchant com histórico de fraudes (83.4%),1,811.64,4.045461148879844,83.4,2026-01-09 17:51
347,99.91,🔴 CRÍTICO,C1993791093,M348934600,es_transportation,520.47,Valor acima do padrão do cliente | Merchant com histórico de fraudes (21.0%) | Valor 9.5x acima da média,2,54.53,9.544216576459606,20.97,2026-01-09 17:51
348,99.91,🔴 CRÍTICO,C1658591237,M348934600,es_transportation,321.98,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 6.8x acima da média,2,47.16,6.827302554312386,92.97,2026-01-09 17:51
349,99.91,🔴 CRÍTICO,C1576250855,M348934600,es_transportation,823.73,Valor acima do padrão do cliente | Merchant com histórico de fraudes (83.9%) | Valor 10.5x acima da média,2,78.8,10.453883723617073,83.9,2026-01-09 17:51
350,99.91,🔴 CRÍTICO,C729168812,M348934600,es_transportation,1132.01,Merchant com histórico de fraudes (57.2%),1,347.55,3.257137504205504,57.24,2026-01-09 17:51
351,99.91,🔴 CRÍTICO,C1658315324,M348934600,es_transportation,357.18,Valor acima do padrão do cliente | Merchant com histórico de fraudes (93.0%) | Valor 7.1x acima da média,2,50.57,7.062888096153778,92.97,2026-01-09 17:51
352,99.91,🔴 CRÍTICO,C1361037703,M1600850729,es_fashion,613.77,Merchant com histórico de fraudes (83.9%),0,236.69,2.5931752136727524,83.9,2026-01-09 17:51
353,99.91,🔴 CRÍTICO,C1950723662,M348934600,es_transportation,1308.68,Merchant com histórico de fraudes (36.4%) | Valor 5.4x acima da média,1,241.31,5.42323150543603,36.36,2026-01-09 17:51
